Compound Name,Attrition resistance,Thermal Stability,Average particle size,Particle size distribution,density,rare earth oxides,catalyst surface area,micropore surface area,zeolite surface area,X-ray fluorescence
Compound_1,87.49,885.21,7.59,1.7,0.909,0.78,64.52,87.96,340.45,0.7081
Compound_2,80.41,890.97,8.49,0.92,0.927,0.92,126.06,57.23,272.78,0.2912
Compound_3,92.24,641.85,3.63,1.23,1.119,3.93,99.92,56.28,336.97,0.0465
Compound_4,92.15,651.16,1.59,2.4,1.476,4.04,126.15,18.79,373.69,0.4402
Compound_5,82.44,748.55,1.31,2.32,0.981,3.31,127.93,56.81,318.68,0.1849
Compound_6,99.39,832.54,9.46,2.29,1.219,4.61,72.12,27.64,118.09,0.3253
Compound_7,87.77,681.4,8.46,1.21,0.997,2.71,85.23,82.2,129.82,0.9869
Compound_8,95.44,659.61,1.05,2.13,1.295,3.65,242.82,16.66,243.39,0.1159
Compound_9,97.26,786.99,3.98,0.63,1.018,1.63,232.4,67.38,454.89,0.4722
Compound_10,82.39,813.97,7.85,1.62,1.34,2.47,180.68,48.48,110.17,0.1079
Compound_11,80.63,790.92,3.83,1.52,1.435,1.25,152.6,78.0,191.52,0.077
Compound_12,85.8,648.37,9.37,2.12,1.243,4.36,250.92,26.79,457.02,0.5393
Compound_13,96.15,868.83,3.86,0.72,0.96,2.14,254.5,87.47,102.78,0.5107
Compound_14,88.35,666.63,2.08,1.18,1.46,1.62,179.7,73.27,245.45,0.9718
Compound_15,99.25,675.53,5.48,1.1,0.999,0.18,202.39,55.24,120.59,0.2786
Compound_16,98.17,671.87,2.3,1.48,1.49,1.21,218.03,78.55,195.06,0.7282
Compound_17,87.36,789.69,6.7,1.57,0.863,4.18,130.2,26.79,116.31,0.5909
Compound_18,93.55,604.98,5.61,0.95,1.252,0.87,222.73,44.81,474.69,0.1375
Compound_19,86.82,634.04,9.32,2.25,0.981,3.3,254.31,59.97,311.86,0.2419
Compound_20,81.86,869.16,9.1,1.77,1.037,1.75,231.49,90.74,454.83,0.7799
Compound_21,92.84,625.24,2.45,2.3,1.225,0.05,75.37,69.72,102.02,0.1608
Compound_22,90.97,807.57,6.87,0.95,1.299,1.19,131.35,77.18,359.85,0.8492
Compound_23,93.15,770.49,1.84,1.24,0.986,1.22,293.25,45.38,456.82,0.6311
Compound_24,95.9,750.79,6.19,1.49,0.937,3.61,120.19,12.19,358.19,0.1771
Compound_25,98.81,886.18,9.23,1.24,0.811,4.64,157.05,97.0,485.45,0.853
Compound_26,85.89,715.53,8.66,1.13,0.919,2.78,284.04,72.64,328.02,0.0972
Compound_27,92.3,897.02,2.26,1.54,1.414,3.7,224.25,73.22,243.8,0.2936
Compound_28,96.19,843.03,8.8,2.33,1.158,2.51,249.57,68.5,380.79,0.7958
Compound_29,97.8,701.4,4.38,0.69,1.205,0.18,166.4,58.84,214.62,0.5908
Compound_30,80.61,611.2,8.4,1.22,0.889,2.61,242.5,29.42,349.16,0.0853
Compound_31,81.03,759.41,5.87,1.77,1.308,4.88,179.08,39.07,418.07,0.2708
Compound_32,88.78,623.54,1.23,2.43,1.385,3.48,152.24,25.6,162.57,0.2502
Compound_33,90.98,814.38,6.94,1.06,1.468,3.69,188.59,65.05,267.84,0.2477
Compound_34,87.12,827.35,1.13,0.73,0.832,0.2,263.87,73.33,289.67,0.0978
Compound_35,89.83,742.04,2.56,1.37,1.079,3.08,208.77,14.08,249.85,0.6259
Compound_36,90.06,856.95,6.93,0.83,0.849,3.21,56.63,62.72,476.09,0.5755
Compound_37,87.76,792.99,5.12,1.59,1.459,1.93,290.3,91.48,178.32,0.0694
Compound_38,82.02,605.47,1.85,1.87,0.85,1.59,261.22,12.09,425.79,0.2819
Compound_39,82.36,809.02,6.66,2.25,1.315,4.02,120.51,25.97,400.25,0.8068
Compound_40,99.81,723.79,4.35,2.05,1.039,4.65,264.6,48.61,400.35,0.7545
Compound_41,82.06,870.77,5.55,2.15,1.024,4.48,147.3,10.98,462.15,0.0913
Compound_42,86.39,885.02,9.56,1.65,1.242,2.24,123.3,39.58,369.01,0.7524
Compound_43,95.83,836.89,1.82,1.49,0.84,2.75,160.38,89.89,240.37,0.1171
Compound_44,82.86,828.45,6.56,0.7,0.859,3.5,68.19,83.97,382.5,0.0813
Compound_45,81.7,895.99,4.37,1.24,1.369,4.74,296.5,77.8,250.5,0.0835
Compound_46,95.54,767.52,4.82,2.31,0.878,2.46,52.84,52.18,122.52,0.1188
Compound_47,82.35,794.76,7.71,1.67,1.474,1.87,121.43,88.17,189.44,0.9632
Compound_48,80.24,890.96,1.39,2.28,1.169,4.96,68.45,59.85,487.72,0.5231
Compound_49,92.59,808.72,5.09,1.76,1.209,4.51,61.36,35.29,480.16,0.8903
Compound_50,89.11,786.04,3.5,0.88,1.125,1.77,195.91,17.0,489.76,0.9862
Compound_51,93.96,760.83,3.79,2.13,1.279,0.81,277.73,84.03,479.92,0.7257
Compound_52,92.27,725.47,9.39,2.23,0.832,0.13,144.12,82.95,494.91,0.1504
Compound_53,91.88,714.27,9.73,2.18,1.387,2.34,153.7,34.61,122.55,0.8647
Compound_54,96.26,899.92,9.97,1.61,1.338,4.72,262.41,32.26,280.22,0.1292
