Compound Name,Lot,Attrition resistance,Thermal Stability,Average particle size,Particle size distribution,density,rare earth oxides,catalyst surface area,micropore surface area,zeolite surface area,X-ray fluorescence
Compound_1,Lot_1,89.5023,857.2827,7.4736,1.7278,0.9074,0.7986,67.4957,84.5871,347.5847,0.689
Compound_1,Lot_2,86.7418,843.8585,7.3137,1.6694,0.8946,0.8112,66.0802,92.1133,343.8229,0.6898
Compound_1,Lot_3,85.9822,869.2617,7.4583,1.7294,0.9118,0.7711,62.2559,83.7567,330.8777,0.6803
Compound_2,Lot_1,82.7053,856.4447,8.6804,0.9095,0.8875,0.9488,127.0638,55.7178,283.5461,0.278
Compound_2,Lot_2,78.0123,913.4266,8.6678,0.9006,0.8864,0.9529,123.7115,55.4886,273.2181,0.3031
Compound_2,Lot_3,76.7397,914.6523,8.5515,0.9131,0.9496,0.9629,122.6464,55.1906,284.0426,0.2961
Compound_3,Lot_1,91.668,646.5522,3.7192,1.2636,1.166,3.9012,97.8558,57.066,334.1303,0.0469
Compound_3,Lot_2,91.5019,619.5775,3.6189,1.2535,1.1525,3.9274,96.5751,55.7999,346.6172,0.0461
Compound_3,Lot_3,94.0528,642.313,3.5361,1.2664,1.0725,3.9398,97.0112,53.8434,337.0689,0.0465
Compound_4,Lot_1,94.0566,667.0972,1.6262,2.3783,1.4954,4.0711,125.1605,18.9727,390.4032,0.4267
Compound_4,Lot_2,95.8892,622.0828,1.5595,2.3492,1.4947,3.891,130.9733,19.4073,379.3725,0.4384
Compound_4,Lot_3,96.1397,672.6969,1.5899,2.4484,1.4859,4.0755,124.0178,18.7188,357.9248,0.4339
Compound_5,Lot_1,84.0544,782.4755,1.3707,2.3329,0.9915,3.206,130.4286,54.3709,311.8184,0.188
Compound_5,Lot_2,80.8762,714.8538,1.3535,2.276,0.9381,3.1693,124.7543,54.9808,327.4214,0.1816
Compound_5,Lot_3,84.9519,724.1357,1.3091,2.3636,0.9959,3.3435,133.3647,55.2678,318.4798,0.192
Compound_6,Lot_1,95.1947,795.5659,9.2077,2.3205,1.1897,4.4672,71.8229,27.954,115.1207,0.3188
Compound_6,Lot_2,100.5187,869.6495,9.6253,2.3548,1.2028,4.505,71.7902,28.4889,117.5739,0.3366
Compound_6,Lot_3,104.2479,796.9095,9.03,2.2098,1.2049,4.4399,74.7932,26.322,115.9147,0.315
Compound_7,Lot_1,91.5576,692.9484,8.8086,1.2672,0.9967,2.638,82.6197,79.9224,132.528,0.9415
Compound_7,Lot_2,83.8323,688.7689,8.5802,1.23,0.9842,2.7929,85.5166,78.9569,133.6769,1.0316
